username,video_filename,local_path,caption,likesCount,commentsCount,videoViewCount,hook,core_action,payoff_or_cta,format_category,variable_elements,transcript_snippet,tagging_status,consolidated_format
aiemilyrae,DR3J0D4ERqJ.mp4,library/aiemilyrae/DR3J0D4ERqJ.mp4,"Just a little daily vlog moment ☕️🤍

While I’m living my real life, Emily is posting, creating, and showing up all day long. Work smarter, not harder 🧠✨

Should Em make vlogs more often? 🤭#trend #ai #aiinfluencer",-1,60,85132,Full-body mirror pose in a chic workout studio setting an aesthetic daily tone.,"Montage of daily activities: working at a cafe, skincare routine, walking a dog, and cooking.",Cozy home cooking scene paired with a caption CTA asking if she should vlog more.,AI aesthetic day-in-the-life,"AI model design, featured routine activities, outfits, and final CTA question.",,ok,Day-in-the-Life Montage
elenasuvariofficial,DVGvaajEwqk.mp4,library/elenasuvariofficial/DVGvaajEwqk.mp4,"Starts with K

Check pinned comment for another hint",15732,1325,383241,Text overlay poses the prompt 'Where are you from?' over a close-up visual of the creator.,"The creator displays a breakdown of her background (25% Italian, 25% Turkish, 25% Russian) while leaving the final 25% hidden as a question mark.","Prompts viewers to guess the missing 25% in the comments, offering a hint in the caption ('Starts with K').",ethnicity guessing game,"The mix of flags/ethnicities shown, the percentages, the mystery country/flag, and the hint provided in the caption.",,ok,Identity Guessing Game
elenasuvariofficial,DTsgMvwEy6v.mp4,library/elenasuvariofficial/DTsgMvwEy6v.mp4,"I had to take a break from my phone for a few days, and just enjoy nature",5231,337,79758,"A woman posing intimately for the camera in a glamorous urban night setting, paired with an ironic caption about taking a break from technology to enjoy nature.","The creator poses interactively for the camera—smiling, flipping her hair, and making playful eye contact against a blurred city lights backdrop.","Delivers humor/irony through the obvious contrast between the sarcastic caption about 'nature' and the high-glam, city restaurant setting.",Ironic caption portrait,"The contradictory/sarcastic caption topic, the setting/lighting, the outfit and styling, and the subtle flirtatious poses.",,ok,Flirty Playful Pose
elenasuvariofficial,DULi3b8Ezdv.mp4,library/elenasuvariofficial/DULi3b8Ezdv.mp4,"Took me about hundred tries to get it right

#tiktokdance",5104,247,89447,,,,,,,tagging_failed,
elenasuvariofficial,DWrCdWlExER.mp4,library/elenasuvariofficial/DWrCdWlExER.mp4,Since so many asked,2591,284,55937,,,,,,,tagging_failed,
elenasuvariofficial,DUl89KrEprq.mp4,library/elenasuvariofficial/DUl89KrEprq.mp4,This was a bit out of my comfort zone,2168,85,51178,,,,,,,tagging_failed,
chloemiabrown,DRfh85gjcT7.mp4,library/chloemiabrown/DRfh85gjcT7.mp4,am i your type?,11405,449,410231,,,,,,,tagging_failed,
chloemiabrown,DRnXrGSjWKy.mp4,library/chloemiabrown/DRnXrGSjWKy.mp4,ok but be honest... would you say hi irl,36561,949,587253,,,,,,,tagging_failed,
chloemiabrown,DSI0BWDjbvQ.mp4,library/chloemiabrown/DSI0BWDjbvQ.mp4,rate my fit 1-10 🫣,10673,492,401473,,,,,,,tagging_failed,
chloemiabrown,DRX2taQDazs.mp4,library/chloemiabrown/DRX2taQDazs.mp4,do you like green on me?,5430,248,201409,,,,,,,tagging_failed,
chloemiabrown,DRSxrU3DatI.mp4,library/chloemiabrown/DRSxrU3DatI.mp4,🐆,6680,417,142782,,,,,,,tagging_failed,
jennifer.st.jaimes,DU3uYr4ETwb.mp4,library/jennifer.st.jaimes/DU3uYr4ETwb.mp4,I was just… acting!,1170,136,16038,,,,,,,tagging_failed,
jennifer.st.jaimes,DV02YC8jlg4.mp4,library/jennifer.st.jaimes/DV02YC8jlg4.mp4,Oh I’m supposed to pose. Sorry.,1169,100,12283,,,,,,,tagging_failed,
jennifer.st.jaimes,DSZqBcCjr6v.mp4,library/jennifer.st.jaimes/DSZqBcCjr6v.mp4,Feeling purpley,961,65,11753,,,,,,,tagging_failed,
jennifer.st.jaimes,DVWLekCjnb_.mp4,library/jennifer.st.jaimes/DVWLekCjnb_.mp4,ABC,691,47,11263,,,,,,,tagging_failed,
jennifer.st.jaimes,DXMoGJKjl0r.mp4,library/jennifer.st.jaimes/DXMoGJKjl0r.mp4,Selfie Thursday!,982,78,10383,,,,,,,tagging_failed,
alessi.vice,DchOzS2IbiH.mp4,library/alessi.vice/DchOzS2IbiH.mp4,"Some things just run in the family — Italian style included. 🇮🇹

#outfit #streetstyle #italianstyle #ootd #everydaylook",3382,179,101329,,,,,,,tagging_skipped_quota,
alessi.vice,DdAp_wZtxDq.mp4,library/alessi.vice/DdAp_wZtxDq.mp4,"Yellow feels like the color of summer ☀️ Beach day essentials.

#yellowbikini #beachday #summervibes #beachstyle #miamibeach",2695,126,35197,,,,,,,tagging_skipped_quota,
alessi.vice,Db3aXBPR74C.mp4,library/alessi.vice/Db3aXBPR74C.mp4,"just a little mall walk in white lace 🤍

#mallday #whitelace #sofiaalessi #jeansandheels #everydaylook",27832,1036,168753,,,,,,,tagging_skipped_quota,
alessi.vice,Db84whUPBLD.mp4,library/alessi.vice/Db84whUPBLD.mp4,"just a little daytime confidence ☀️

#streetfashion #beigeoutfit #summervibes #modeloffduty #chic",6169,154,33163,,,,,,,tagging_skipped_quota,
alessi.vice,DcJOHNAB7Df.mp4,library/alessi.vice/DcJOHNAB7Df.mp4,"this red hits different under the sun ☀️

#redbikini #poolvibes #summervibes #bikinilife #desertview",1956,76,29604,,,,,,,tagging_skipped_quota,
cowgirl.jess05,Da0bHVGgLAJ.mp4,library/cowgirl.jess05/Da0bHVGgLAJ.mp4,"Say hi 🥰

#cowgirl #farmlifestyle #countrygirl #beerbeerbeer",9527,251,1545024,,,,,,,tagging_skipped_quota,
cowgirl.jess05,DbJCfpVgjvt.mp4,library/cowgirl.jess05/DbJCfpVgjvt.mp4,"Am I wrong? 👀

#cowgirl #farmlifestyle #beerbeerbeer #countrygirl",37946,654,1986664,,,,,,,tagging_skipped_quota,
cowgirl.jess05,DcQkkXUgcOh.mp4,library/cowgirl.jess05/DcQkkXUgcOh.mp4,"Am I wrong tho? 🤭😄

#cowgirl #beerbeerbeer #relate #ranchgirl",48217,619,2621558,,,,,,,tagging_skipped_quota,
cowgirl.jess05,DdE0IgvxcY5.mp4,library/cowgirl.jess05/DdE0IgvxcY5.mp4,#cowgirl #beerbeerbeer #usatoday #countrygirl,1535,5,671158,,,,,,,tagging_skipped_quota,
cowgirl.jess05,DdAFMzvMaUF.mp4,library/cowgirl.jess05/DdAFMzvMaUF.mp4,"Pick one 🤭😘

#cowgirl #beerbeerbeer #farmlifestyle #usatoday",2391,181,473039,,,,,,,tagging_skipped_quota,
lia_nablake,DczDeqUMzWi.mp4,library/lia_nablake/DczDeqUMzWi.mp4,older men just know how to treat a girl 😭,1013,22,163911,,,,,,,tagging_skipped_quota,
lia_nablake,DcPAF6JMrwF.mp4,library/lia_nablake/DcPAF6JMrwF.mp4,Who is going to risk it? 🙈🦉” o “Don’t say I didn’t warn you... 📝,1681,443,28424,,,,,,,tagging_skipped_quota,
lia_nablake,Dcekn74sGQ2.mp4,library/lia_nablake/Dcekn74sGQ2.mp4,would you disappear the next day?🙄,325,21,30688,,,,,,,tagging_skipped_quota,
lia_nablake,DchY4b8suEm.mp4,library/lia_nablake/DchY4b8suEm.mp4,Worst date ever 😭,238,7,27768,,,,,,,tagging_skipped_quota,
lia_nablake,Dcb45R1MJdh.mp4,library/lia_nablake/Dcb45R1MJdh.mp4,don’t ask for my number if you can’t take care of me 💅🏼🤍,711,44,25771,,,,,,,tagging_skipped_quota,
goonetgoblin,Db9YHevPa_G.mp4,library/goonetgoblin/Db9YHevPa_G.mp4,first date kinda nervous,15418,150,1779815,,,,,,,tagging_skipped_quota,
goonetgoblin,DcMftslSrCN.mp4,library/goonetgoblin/DcMftslSrCN.mp4,always have to show proof,2612,37,156655,,,,,,,tagging_skipped_quota,
goonetgoblin,Db_XZuRvvEg.mp4,library/goonetgoblin/Db_XZuRvvEg.mp4,i always lose,1027,14,152298,,,,,,,tagging_skipped_quota,
goonetgoblin,Dc9GNCDPC4h.mp4,library/goonetgoblin/Dc9GNCDPC4h.mp4,just something to look back on from time to time,610,4,84596,,,,,,,tagging_skipped_quota,
goonetgoblin,Db4AbjHT_ZZ.mp4,library/goonetgoblin/Db4AbjHT_ZZ.mp4,kiss or slap?,506,13,51785,,,,,,,tagging_skipped_quota,
kassidy.46,DSsR2YQCLx1.mp4,library/kassidy.46/DSsR2YQCLx1.mp4,Xmas be making me feel good! ❤️❤️❤️,2409,170,23072,,,,,,,tagging_skipped_quota,
kassidy.46,DVTD8lUCMLa.mp4,library/kassidy.46/DVTD8lUCMLa.mp4,😘😘😘😘,1428,96,17293,,,,,,,tagging_skipped_quota,
kassidy.46,DQtlQ2fCLql.mp4,library/kassidy.46/DQtlQ2fCLql.mp4,"How many times is this girl having a “comeback”? 😂 Missed y’all🤍🤍

#model #blackgirlmagic #ootd #facecardneverdeclines",1637,106,20890,,,,,,,tagging_skipped_quota,
kassidy.46,DRFgEf8iMky.mp4,library/kassidy.46/DRFgEf8iMky.mp4,Happy Saturday y’all 😘😘,-1,62,17088,,,,,,,tagging_skipped_quota,
kassidy.46,DRUGnJwiOhS.mp4,library/kassidy.46/DRUGnJwiOhS.mp4,"Bye bye 👋 

#blackgirlmagic #model #facecardneverdeclines #explorepage",-1,55,16240,,,,,,,tagging_skipped_quota,
karina_marukyan,DcjMh0KMkBg.mp4,library/karina_marukyan/DcjMh0KMkBg.mp4,enjoy life😉,10946,377,451521,,,,,,,tagging_skipped_quota,
karina_marukyan,DcjMF2yMn-i.mp4,library/karina_marukyan/DcjMF2yMn-i.mp4,My morning routine always includes a nice hip workout😌🍑,12523,215,461744,,,,,,,tagging_skipped_quota,
karina_marukyan,Dc37GCNs-o2.mp4,library/karina_marukyan/Dc37GCNs-o2.mp4,💕,2777,21,410115,,,,,,,tagging_skipped_quota,
karina_marukyan,DcwDpyuM10Q.mp4,library/karina_marukyan/DcwDpyuM10Q.mp4,Start your morning the right way😌,4864,113,289401,,,,,,,tagging_skipped_quota,
karina_marukyan,Dc1jy0YsZAw.mp4,library/karina_marukyan/Dc1jy0YsZAw.mp4,special treatment😉,434,3,120982,,,,,,,tagging_skipped_quota,
lovejadet33n,DarVUDvu7UO.mp4,library/lovejadet33n/DarVUDvu7UO.mp4,Go Argentina 🇦🇷,13093,337,1480818,,,,,,,tagging_skipped_quota,
lovejadet33n,Dad1XS7x40s.mp4,library/lovejadet33n/Dad1XS7x40s.mp4,Expectations vs reality 😂🥰,5436,112,885055,,,,,,,tagging_skipped_quota,
lovejadet33n,DamPgNIOwAh.mp4,library/lovejadet33n/DamPgNIOwAh.mp4,We almost got caught up 😩 @nickyardy,24962,100,2452174,,,,,,,tagging_skipped_quota,
lovejadet33n,DabUd1EMQMx.mp4,library/lovejadet33n/DabUd1EMQMx.mp4,Patrol boat pulled up a few seconds later 😂,5755,47,713701,,,,,,,tagging_skipped_quota,
lovejadet33n,DaZNuEiOT3A.mp4,library/lovejadet33n/DaZNuEiOT3A.mp4,Fireworks & chill?! 💥,5093,51,424055,,,,,,,tagging_skipped_quota,
mikaylademaiter,C1cZEl5urDV.mp4,library/mikaylademaiter/C1cZEl5urDV.mp4,just as surprised as you that the ice hasn’t completely melted,427775,4349,21109123,,,,,,,tagging_skipped_quota,
mikaylademaiter,Cuw5fF-rUYa.mp4,library/mikaylademaiter/Cuw5fF-rUYa.mp4,turning heads everywhere i go can be a bit exhausting but someone’s got to do it ;),1405375,14463,31646167,,,,,,,tagging_skipped_quota,
mikaylademaiter,CsJertutEq-.mp4,library/mikaylademaiter/CsJertutEq-.mp4,a day so rare it’s worthy enough of being a holiday — me smiling on insta,629080,7094,22364804,,,,,,,tagging_skipped_quota,
mikaylademaiter,CrL4CgCxNbG.mp4,library/mikaylademaiter/CrL4CgCxNbG.mp4,i’m a woman of many talents and making walking uphill in heels look easy is among them,510490,6451,19987055,,,,,,,tagging_skipped_quota,
mikaylademaiter,CvsZZsgretm.mp4,library/mikaylademaiter/CvsZZsgretm.mp4,"may be on vacation, but captivating hearts is a full time job — one i take very seriously",614465,6604,14715483,,,,,,,tagging_skipped_quota,
sofmarcelli,DVowTK2AVpc.mp4,library/sofmarcelli/DVowTK2AVpc.mp4,🫦,1686,119,87428,,,,,,,tagging_skipped_quota,
sofmarcelli,DWFGK8zsZJr.mp4,library/sofmarcelli/DWFGK8zsZJr.mp4,😋,2233,59,96301,,,,,,,tagging_skipped_quota,
sofmarcelli,DVJzcESDMJ2.mp4,library/sofmarcelli/DVJzcESDMJ2.mp4,i need it…,1782,210,74305,,,,,,,tagging_skipped_quota,
sofmarcelli,DXND8dPCDin.mp4,library/sofmarcelli/DXND8dPCDin.mp4,heyyy.. rate me 1-10🙈❤️‍🔥,20,0,1016,,,,,,,tagging_skipped_quota,
sofmarcelli,DWaCOOiph8k.mp4,library/sofmarcelli/DWaCOOiph8k.mp4,It’s gym time🫶🏻,879,66,31211,,,,,,,tagging_skipped_quota,
alexus.rae,Dclek_3xjXu.mp4,library/alexus.rae/Dclek_3xjXu.mp4,Can you believe this guy?!,893,44,51359,,,,,,,tagging_skipped_quota,
alexus.rae,DcY2AstRDQ4.mp4,library/alexus.rae/DcY2AstRDQ4.mp4,A for effort + 💋🤭,193,21,10989,,,,,,,tagging_skipped_quota,
alexus.rae,DZToCR1R_wA.mp4,library/alexus.rae/DZToCR1R_wA.mp4,"Maybe the “good old days” aren’t gone… maybe we just forget to notice them while we’re living them.  I used to think I missed being younger.

But maybe I just miss how simple everything felt.

The long days. The warm nights. The feeling that time wasn’t running from me yet. The memories we made without knowing they would become little pieces of our hearts we’d carry forever.

Lately I’ve been learning that presence is its own kind of love. Sometimes peace is just noticing the sunset before it disappears. 🌊🌅",541,33,10420,,,,,,,tagging_skipped_quota,
alexus.rae,DaPVHNLxstQ.mp4,library/alexus.rae/DaPVHNLxstQ.mp4,Now this sunset was just epic 😱😱😱,632,76,8348,,,,,,,tagging_skipped_quota,
alexus.rae,DYiZgqAPbfr.mp4,library/alexus.rae/DYiZgqAPbfr.mp4,"sometimes I look back at my life and realize how many versions of me have existed.

the dreamer. the fighter. the one who looked confident, but was still learning how to be seen.

and then I look at the people around me too…
friends who have lived so many lives in one lifetime.
so many talents, stories, skills, jobs, lessons, gifts, and hidden pieces of themselves that most people never even stop to notice.

I think that becomes one of the most beautiful things 🩵
recognizing the depth in people.
not just who they are today, but everything they’ve survived,
created, learned, lost, built, and BECOME. 

change is beautiful.
and being seen for all the eras that made you… is even more beautiful. 🦋",559,45,10192,,,,,,,tagging_skipped_quota,
sophiaalvarezz_,DWZ021gEwLP.mp4,library/sophiaalvarezz_/DWZ021gEwLP.mp4,"should i post more again?

#fyp #reels #viralreelsvideo #explorepageًًً",717,42,15509,,,,,,,tagging_skipped_quota,
sophiaalvarezz_,DW433Y2jho3.mp4,library/sophiaalvarezz_/DW433Y2jho3.mp4,Meow,870,58,18711,,,,,,,tagging_skipped_quota,
sophiaalvarezz_,DXmD3UxEo5F.mp4,library/sophiaalvarezz_/DXmD3UxEo5F.mp4,How’s your weekend going? 🥰,1301,112,16087,,,,,,,tagging_skipped_quota,
sophiaalvarezz_,DWxXL-WEi1b.mp4,library/sophiaalvarezz_/DWxXL-WEi1b.mp4,Please look up ✨,593,27,15088,,,,,,,tagging_skipped_quota,
sophiaalvarezz_,DXMasDxjkPm.mp4,library/sophiaalvarezz_/DXMasDxjkPm.mp4,🥰,657,36,14789,,,,,,,tagging_skipped_quota,
samanthaeverly33,DL1PN0vuEGy.mp4,library/samanthaeverly33/DL1PN0vuEGy.mp4,Good vibes only to start the week 😎💛 #redtick @fanvue,5109,438,259129,,,,,,,tagging_skipped_quota,
samanthaeverly33,DMJljQfJ7Uv.mp4,library/samanthaeverly33/DMJljQfJ7Uv.mp4,My sanctuary 🐎❤️,8305,421,384210,,,,,,,tagging_skipped_quota,
samanthaeverly33,DK-B2QqJteC.mp4,library/samanthaeverly33/DK-B2QqJteC.mp4,Am I late to the trend? 😂,5736,267,498769,,,,,,,tagging_skipped_quota,
samanthaeverly33,DNGaXyGJMNG.mp4,library/samanthaeverly33/DNGaXyGJMNG.mp4,Dinner plans? 😇 #pastaplease #friday #ig,3623,328,204556,,,,,,,tagging_skipped_quota,
samanthaeverly33,DLnSA81p8gW.mp4,library/samanthaeverly33/DLnSA81p8gW.mp4,Serving sweet vibes only 😇💖,4389,382,234543,,,,,,,tagging_skipped_quota,
the_cutesophia,Dbq2zRPs3Fs.mp4,library/the_cutesophia/Dbq2zRPs3Fs.mp4,felt cute ❤️ #newhere #cute ❤️,779,18,13449,,,,,,,tagging_skipped_quota,
the_cutesophia,DcCA-zfJJqZ.mp4,library/the_cutesophia/DcCA-zfJJqZ.mp4,More spicy contents 🥵 in my highlights 👀🌝 #pretty #gymrat #gymgirlera #gymreels,104,8,4606,,,,,,,tagging_skipped_quota,
the_cutesophia,Db87CVLJTJN.mp4,library/the_cutesophia/Db87CVLJTJN.mp4,Just kidding 🌝 #cute #linkinbio #pretty #,249,20,8860,,,,,,,tagging_skipped_quota,
the_cutesophia,DcAP9IRBaHr.mp4,library/the_cutesophia/DcAP9IRBaHr.mp4,Wanna see more 👀 checkout my highlights 😜🎀 #pretty #gymrat #cute,167,5,2581,,,,,,,tagging_skipped_quota,
the_cutesophia,DcIacYaOW-5.mp4,library/the_cutesophia/DcIacYaOW-5.mp4,Don’t be surprised 😑🐱,22,3,1446,,,,,,,tagging_skipped_quota,
basedxrosie,DcZT_WtSUzL.mp4,library/basedxrosie/DcZT_WtSUzL.mp4,,359,11,48153,,,,,,,tagging_skipped_quota,
basedxrosie,DdCRCyehF-e.mp4,library/basedxrosie/DdCRCyehF-e.mp4,Yes 😉 True friendship,753,26,90553,,,,,,,tagging_skipped_quota,
basedxrosie,DcZOIybvveZ.mp4,library/basedxrosie/DcZOIybvveZ.mp4,,224,3,38470,,,,,,,tagging_skipped_quota,
basedxrosie,DdCF2z8T-fr.mp4,library/basedxrosie/DdCF2z8T-fr.mp4,Ride mee babe,630,22,42413,,,,,,,tagging_skipped_quota,
basedxrosie,DcZGEY1v9sb.mp4,library/basedxrosie/DcZGEY1v9sb.mp4,"Now it’s your turn 👀

#viral #fyp #arizona #southwest",272,14,39635,,,,,,,tagging_skipped_quota,
